8494 : BEQ 84A3       : A=01 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=0 C=0 : FWA 80-81:E1000000:00:00 = -1.75781250E+00 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8496 : LSR 31         : A=01 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=0 C=1 : FWA 80-81:70000000:00:00 = -8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8498 : ROR 32         : A=01 X=8A Y=01 SP=?? N=1 V=0 D=0 I=0 Z=0 C=0 : FWA 80-81:70800000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
849A : ROR 33         : A=01 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=0 : FWA 80-81:70800000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
849C : ROR 34         : A=01 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=0 : FWA 80-81:70800000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
849E : ROR 35         : A=01 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=0 : FWA 80-81:70800000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84A0 : DEC A          : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=0 : FWA 80-81:70800000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84A1 : BNE 8496       : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=0 : FWA 80-81:70800000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84A3 : LDA 2E         : A=80 X=8A Y=01 SP=?? N=1 V=0 D=0 I=0 Z=0 C=0 : FWA 80-81:70800000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84A5 : EOR 3B         : A=80 X=8A Y=01 SP=?? N=1 V=0 D=0 I=0 Z=0 C=0 : FWA 80-81:70800000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
